ID,X,Y,Z
167,13.00,56.00,6.00
168,13.00,57.00,7.00
169,13.00,58.00,8.00
170,14.00,41.00,8.00
171,14.00,42.00,7.00
172,14.00,43.00,6.00
173,14.00,44.00,5.00
174,14.00,45.00,4.00
175,14.00,46.00,3.00
176,14.00,47.00,2.00
177,14.00,48.00,1.00
178,14.00,49.00,0.00
179,14.00,50.00,1.00
180,14.00,51.00,1.41
181,14.00,52.00,2.41
182,14.00,53.00,3.41
183,14.00,54.00,4.41
184,14.00,55.00,5.41
185,14.00,56.00,6.41
186,14.00,57.00,7.41
187,14.00,58.00,8.41
188,15.00,41.00,8.00
189,15.00,42.00,7.00
190,15.00,43.00,6.00
191,15.00,44.00,5.00
192,15.00,45.00,4.00
193,15.00,46.00,3.00
194,15.00,47.00,2.00
195,15.00,48.00,1.00
196,15.00,49.00,0.00
197,15.00,50.00,1.00
198,15.00,51.00,2.00
199,15.00,52.00,2.83
200,15.00,53.00,3.83
201,15.00,54.00,4.83
202,15.00,55.00,5.83
203,15.00,56.00,6.83
204,15.00,57.00,7.83
205,15.00,58.00,8.83
206,16.00,41.00,8.00
207,16.00,42.00,7.00
208,16.00,43.00,6.00
209,16.00,44.00,5.00
210,16.00,45.00,4.00
211,16.00,46.00,3.00
212,16.00,47.00,2.00
213,16.00,48.00,1.00
214,16.00,49.00,0.00
215,16.00,50.00,1.00
216,16.00,51.00,2.00
217,16.00,52.00,3.00
218,16.00,53.00,4.00
219,16.00,54.00,5.00
220,16.00,55.00,6.00
221,16.00,56.00,7.00
222,16.00,57.00,8.00
223,16.00,58.00,9.00
224,17.00,40.00,9.00
225,17.00,41.00,8.00
226,17.00,42.00,7.00
227,17.00,43.00,6.00
228,17.00,44.00,5.00
229,17.00,45.00,4.00
230,17.00,46.00,3.00
231,17.00,47.00,2.00
232,17.00,48.00,1.00
233,17.00,49.00,0.00
234,17.00,50.00,1.00
235,17.00,51.00,2.00
236,17.00,52.00,3.00
237,17.00,53.00,4.00
238,17.00,54.00,5.00
239,17.00,55.00,6.00
240,17.00,56.00,7.00
241,17.00,57.00,8.00
242,17.00,58.00,9.00
243,18.00,40.00,9.00
244,18.00,41.00,8.00
245,18.00,42.00,7.00
246,18.00,43.00,6.00
247,18.00,44.00,5.00
248,18.00,45.00,4.00
249,18.00,46.00,3.00
250,18.00,47.00,2.00
251,18.00,48.00,1.00
252,18.00,49.00,0.00
253,18.00,50.00,1.00
254,18.00,51.00,2.00
255,18.00,52.00,3.00
256,18.00,53.00,4.00
257,18.00,54.00,5.00
258,18.00,55.00,6.00
259,18.00,56.00,7.00
260,18.00,57.00,8.00
261,18.00,58.00,9.00
262,19.00,40.00,9.00
263,19.00,41.00,8.00
264,19.00,42.00,7.00
265,19.00,43.00,6.00
266,19.00,44.00,5.00
267,19.00,45.00,4.00
268,19.00,46.00,3.00
269,19.00,47.00,2.00
270,19.00,48.00,1.00
271,19.00,49.00,0.00
272,19.00,50.00,1.00
273,19.00,51.00,2.00
274,19.00,52.00,3.00
275,19.00,53.00,4.00
276,19.00,54.00,5.00
277,19.00,55.00,6.00
278,19.00,56.00,7.00
279,19.00,57.00,8.00
280,19.00,58.00,9.00
281,20.00,40.00,9.00
282,20.00,41.00,8.00
283,20.00,42.00,7.00
284,20.00,43.00,6.00
285,20.00,44.00,5.00
286,20.00,45.00,4.00
287,20.00,46.00,3.00
288,20.00,47.00,2.00
289,20.00,48.00,1.00
290,20.00,49.00,0.00
291,20.00,50.00,1.00
292,20.00,51.00,2.00
293,20.00,52.00,3.00
294,20.00,53.00,4.00
295,20.00,54.00,5.00
296,20.00,55.00,6.00
297,20.00,56.00,7.00
298,20.00,57.00,8.00
299,20.00,58.00,9.00
300,21.00,40.00,9.00
301,21.00,41.00,8.00
302,21.00,42.00,7.00
303,21.00,43.00,6.00
304,21.00,44.00,5.00
305,21.00,45.00,4.00
306,21.00,46.00,3.00
307,21.00,47.00,2.00
308,21.00,48.00,1.00
309,21.00,49.00,0.00
310,21.00,50.00,1.00
311,21.00,51.00,2.00
312,21.00,52.00,3.00
313,21.00,53.00,4.00
314,21.00,54.00,5.00
315,21.00,55.00,6.00
316,21.00,56.00,7.00
317,21.00,57.00,8.00
318,21.00,58.00,9.00
319,22.00,40.00,9.00
320,22.00,41.00,8.00
321,22.00,42.00,7.00
322,22.00,43.00,6.00
323,22.00,44.00,5.00
324,22.00,45.00,4.00
325,22.00,46.00,3.00
326,22.00,47.00,2.00
327,22.00,48.00,1.00
328,22.00,49.00,0.00
329,22.00,50.00,1.00
330,22.00,51.00,2.00
331,22.00,52.00,3.00
332,22.00,53.00,4.00
333,22.00,54.00,5.00
334,22.00,55.00,6.00
335,22.00,56.00,7.00
336,22.00,57.00,8.00
337,22.00,58.00,9.00
338,23.00,40.00,9.00
339,23.00,41.00,8.00
340,23.00,42.00,7.00
341,23.00,43.00,6.00
342,23.00,44.00,5.00
343,23.00,45.00,4.00
344,23.00,46.00,3.00
345,23.00,47.00,2.00
346,23.00,48.00,1.00
347,23.00,49.00,0.00
348,23.00,50.00,1.00
349,23.00,51.00,2.00
350,23.00,52.00,3.00
351,23.00,53.00,4.00
352,23.00,54.00,5.00
353,23.00,55.00,6.00
354,23.00,56.00,7.00
355,23.00,57.00,8.00
356,24.00,40.00,8.83
357,24.00,41.00,7.83
358,24.00,42.00,6.83
359,24.00,43.00,5.83
360,24.00,44.00,4.83
361,24.00,45.00,3.83
362,24.00,46.00,2.83
363,24.00,47.00,2.00
364,24.00,48.00,1.00
365,24.00,49.00,0.00
366,24.00,50.00,1.00
367,24.00,51.00,2.00
368,24.00,52.00,3.00
369,24.00,53.00,4.00
370,24.00,54.00,5.00
371,24.00,55.00,6.00
372,24.00,56.00,7.00
373,24.00,57.00,8.00
374,25.00,40.00,8.41
375,25.00,41.00,7.41
376,25.00,42.00,6.41
377,25.00,43.00,5.41
378,25.00,44.00,4.41
379,25.00,45.00,3.41
380,25.00,46.00,2.41
381,25.00,47.00,1.41
382,25.00,48.00,1.00
383,25.00,49.00,0.00
384,25.00,50.00,1.00
385,25.00,51.00,2.00
386,25.00,52.00,3.00
387,25.00,53.00,4.00
388,25.00,54.00,5.00
389,25.00,55.00,6.00
390,25.00,56.00,7.00
391,25.00,57.00,8.00
392,26.00,40.00,8.00
393,26.00,41.00,7.00
394,26.00,42.00,6.00
395,26.00,43.00,5.00
396,26.00,44.00,4.00
397,26.00,45.00,3.00
398,26.00,46.00,2.00
399,26.00,47.00,1.00
400,26.00,48.00,0.00
401,26.00,49.00,1.00
402,26.00,50.00,1.41
403,26.00,51.00,2.41
404,26.00,52.00,3.41
405,26.00,53.00,4.41
406,26.00,54.00,5.41
407,26.00,55.00,6.41
408,26.00,56.00,7.41
409,26.00,57.00,8.41
410,27.00,40.00,8.00
411,27.00,41.00,7.00
412,27.00,42.00,6.00
413,27.00,43.00,5.00
414,27.00,44.00,4.00
415,27.00,45.00,3.00
416,27.00,46.00,2.00
417,27.00,47.00,1.00
418,27.00,48.00,0.00
419,27.00,49.00,1.00
420,27.00,50.00,2.00
421,27.00,51.00,2.83
422,27.00,52.00,3.83
423,27.00,53.00,4.83
424,27.00,54.00,5.83
425,27.00,55.00,6.83
426,27.00,56.00,7.83
427,27.00,57.00,8.83
428,28.00,39.00,9.00
429,28.00,40.00,8.00
430,28.00,41.00,7.00
431,28.00,42.00,6.00
432,28.00,43.00,5.00
433,28.00,44.00,4.00
434,28.00,45.00,3.00
435,28.00,46.00,2.00
436,28.00,47.00,1.00
437,28.00,48.00,0.00
438,28.00,49.00,1.00
439,28.00,50.00,2.00
440,28.00,51.00,3.00
441,28.00,52.00,4.00
442,28.00,53.00,5.00
443,28.00,54.00,6.00
444,28.00,55.00,7.00
445,28.00,56.00,8.00
446,28.00,57.00,9.00
447,29.00,39.00,9.00
448,29.00,40.00,8.00
449,29.00,41.00,7.00
450,29.00,42.00,6.00
451,29.00,43.00,5.00
452,29.00,44.00,4.00
453,29.00,45.00,3.00
454,29.00,46.00,2.00
455,29.00,47.00,1.00
456,29.00,48.00,0.00
457,29.00,49.00,1.00
458,29.00,50.00,2.00
459,29.00,51.00,3.00
460,29.00,52.00,4.00
461,29.00,53.00,5.00
462,29.00,54.00,6.00
463,29.00,55.00,7.00
464,29.00,56.00,8.00
465,29.00,57.00,9.00
466,29.00,94.00,9.00
467,29.00,95.00,9.00
468,29.00,96.00,9.00
469,29.00,97.00,9.00
470,29.00,98.00,9.00
471,29.00,99.00,9.00
472,30.00,39.00,9.00
473,30.00,40.00,8.00
474,30.00,41.00,7.00
475,30.00,42.00,6.00
476,30.00,43.00,5.00
477,30.00,44.00,4.00
478,30.00,45.00,3.00
479,30.00,46.00,2.00
480,30.00,47.00,1.00
481,30.00,48.00,0.00
482,30.00,49.00,1.00
483,30.00,50.00,2.00
484,30.00,51.00,3.00
485,30.00,52.00,4.00
486,30.00,53.00,5.00
487,30.00,54.00,6.00
488,30.00,55.00,7.00
489,30.00,56.00,8.00
490,30.00,57.00,9.00
491,30.00,89.00,9.00
492,30.00,90.00,9.00
493,30.00,91.00,8.83
494,30.00,92.00,8.41
495,30.00,93.00,8.00
496,30.00,94.00,8.00
497,30.00,95.00,8.00
498,30.00,96.00,8.00
499,30.00,97.00,8.00
500,30.00,98.00,8.00
501,30.00,99.00,8.00
502,30.00,100.00,8.00
503,30.00,101.00,8.41
504,30.00,102.00,8.83
505,30.00,103.00,9.24
506,31.00,39.00,9.00
507,31.00,40.00,8.00
508,31.00,41.00,7.00
509,31.00,42.00,6.00
510,31.00,43.00,5.00
511,31.00,44.00,4.00
512,31.00,45.00,3.00
513,31.00,46.00,2.00
514,31.00,47.00,1.00
515,31.00,48.00,0.00
516,31.00,49.00,1.00
517,31.00,50.00,2.00
518,31.00,51.00,3.00
519,31.00,52.00,4.00
520,31.00,53.00,5.00
521,31.00,54.00,6.00
522,31.00,55.00,7.00
523,31.00,56.00,8.00
524,31.00,57.00,9.00
525,31.00,86.00,9.24
526,31.00,87.00,8.83
527,31.00,88.00,8.41
528,31.00,89.00,8.00
529,31.00,90.00,8.00
530,31.00,91.00,7.83
531,31.00,92.00,7.41
532,31.00,93.00,7.00
533,31.00,94.00,7.00
534,31.00,95.00,7.00
535,31.00,96.00,7.00
536,31.00,97.00,7.00
537,31.00,98.00,7.00
538,31.00,99.00,7.00
539,31.00,100.00,7.00
540,31.00,101.00,7.41
541,31.00,102.00,7.83
542,31.00,103.00,8.24
543,31.00,104.00,8.66
544,31.00,105.00,9.07
545,31.00,106.00,9.49
546,32.00,39.00,8.83
547,32.00,40.00,7.83
548,32.00,41.00,6.83
549,32.00,42.00,5.83
550,32.00,43.00,4.83
551,32.00,44.00,3.83
552,32.00,45.00,2.83
553,32.00,46.00,2.00
554,32.00,47.00,1.00
555,32.00,48.00,0.00
556,32.00,49.00,1.00
557,32.00,50.00,2.00
558,32.00,51.00,3.00
559,32.00,52.00,4.00
560,32.00,53.00,5.00
561,32.00,54.00,6.00
562,32.00,55.00,7.00
563,32.00,56.00,8.00
564,32.00,83.00,9.41
565,32.00,84.00,9.00
566,32.00,85.00,8.66
567,32.00,86.00,8.24
568,32.00,87.00,7.83
569,32.00,88.00,7.41
570,32.00,89.00,7.00
571,32.00,90.00,7.00
572,32.00,91.00,6.83
573,32.00,92.00,6.41
574,32.00,93.00,6.00
575,32.00,94.00,6.00
576,32.00,95.00,6.00
577,32.00,96.00,6.00
578,32.00,97.00,6.00
579,32.00,98.00,6.00
580,32.00,99.00,6.00
581,32.00,100.00,6.00
582,32.00,101.00,6.41
583,32.00,102.00,6.83
584,32.00,103.00,7.24
585,32.00,104.00,7.66
586,32.00,105.00,8.07
587,32.00,106.00,8.49
588,32.00,107.00,9.07
589,33.00,39.00,8.41
590,33.00,40.00,7.41
591,33.00,41.00,6.41
592,33.00,42.00,5.41
593,33.00,43.00,4.41
594,33.00,44.00,3.41
595,33.00,45.00,2.41
596,33.00,46.00,1.41
597,33.00,47.00,1.00
598,33.00,48.00,0.00
599,33.00,49.00,1.00
600,33.00,50.00,2.00
601,33.00,51.00,3.00
602,33.00,52.00,4.00
603,33.00,53.00,5.00
604,33.00,54.00,6.00
605,33.00,55.00,7.00
606,33.00,56.00,8.00
607,33.00,81.00,9.00
608,33.00,82.00,8.83
609,33.00,83.00,8.41
610,33.00,84.00,8.00
611,33.00,85.00,7.66
612,33.00,86.00,7.24
613,33.00,87.00,6.83
614,33.00,88.00,6.41
615,33.00,89.00,6.00
616,33.00,90.00,6.00
617,33.00,91.00,5.83
618,33.00,92.00,5.41
619,33.00,93.00,5.00
620,33.00,94.00,5.00
621,33.00,95.00,5.00
622,33.00,96.00,5.00
623,33.00,97.00,5.00
624,33.00,98.00,5.00
625,33.00,99.00,5.00
626,33.00,100.00,5.00
627,33.00,101.00,5.41
628,33.00,102.00,5.83
629,33.00,103.00,6.24
630,33.00,104.00,6.66
631,33.00,105.00,7.07
632,33.00,106.00,7.66
633,33.00,107.00,8.07
634,33.00,108.00,8.49
635,33.00,109.00,9.07
636,34.00,39.00,8.00
637,34.00,40.00,7.00
638,34.00,41.00,6.00
639,34.00,42.00,5.00
640,34.00,43.00,4.00
641,34.00,44.00,3.00
642,34.00,45.00,2.00
643,34.00,46.00,1.00
644,34.00,47.00,0.00
645,34.00,48.00,1.00
646,34.00,49.00,1.41
647,34.00,50.00,2.41
648,34.00,51.00,3.41
649,34.00,52.00,4.41
650,34.00,53.00,5.41
651,34.00,54.00,6.41
652,34.00,55.00,7.41
653,34.00,56.00,8.41
654,34.00,78.00,9.00
655,34.00,79.00,8.83
656,34.00,80.00,8.41
657,34.00,81.00,8.00
658,34.00,82.00,7.83
659,34.00,83.00,7.41
660,34.00,84.00,7.00
661,34.00,85.00,6.66
662,34.00,86.00,6.24
663,34.00,87.00,5.83
664,34.00,88.00,5.41
665,34.00,89.00,5.00
666,34.00,90.00,5.00
667,34.00,91.00,4.83
668,34.00,92.00,4.41
669,34.00,93.00,4.00
670,34.00,94.00,4.00
671,34.00,95.00,4.00
672,34.00,96.00,4.00
673,34.00,97.00,4.00
674,34.00,98.00,4.00
675,34.00,99.00,4.00
676,34.00,100.00,4.00
677,34.00,101.00,4.41
678,34.00,102.00,4.83
679,34.00,103.00,5.24
680,34.00,104.00,5.66
681,34.00,105.00,6.24
682,34.00,106.00,6.66
683,34.00,107.00,7.07
684,34.00,108.00,7.66
685,34.00,109.00,8.07
686,34.00,110.00,8.49
687,35.00,39.00,8.00
688,35.00,40.00,7.00
689,35.00,41.00,6.00
690,35.00,42.00,5.00
691,35.00,43.00,4.00
692,35.00,44.00,3.00
693,35.00,45.00,2.00
694,35.00,46.00,1.00
695,35.00,47.00,0.00
696,35.00,48.00,1.00
697,35.00,49.00,2.00
698,35.00,50.00,2.83
699,35.00,51.00,3.83
700,35.00,52.00,4.83
701,35.00,53.00,5.83
702,35.00,54.00,6.83
703,35.00,55.00,7.83
704,35.00,56.00,8.83
705,35.00,75.00,9.00
706,35.00,76.00,8.83
707,35.00,77.00,8.41
708,35.00,78.00,8.00
709,35.00,79.00,7.83
710,35.00,80.00,7.41
711,35.00,81.00,7.00
712,35.00,82.00,6.83
713,35.00,83.00,6.41
714,35.00,84.00,6.00
715,35.00,85.00,5.66
716,35.00,86.00,5.24
717,35.00,87.00,4.83
718,35.00,88.00,4.41
719,35.00,89.00,4.00
720,35.00,90.00,4.00
721,35.00,91.00,3.83
722,35.00,92.00,3.41
723,35.00,93.00,3.00
724,35.00,94.00,3.00
725,35.00,95.00,3.00
726,35.00,96.00,3.00
727,35.00,97.00,3.00
728,35.00,98.00,3.00
729,35.00,99.00,3.00
730,35.00,100.00,3.00
731,35.00,101.00,3.41
732,35.00,102.00,3.83
733,35.00,103.00,4.24
734,35.00,104.00,4.83
735,35.00,105.00,5.24
736,35.00,106.00,5.66
737,35.00,107.00,6.24
738,35.00,108.00,6.66
739,35.00,109.00,7.07
740,35.00,110.00,8.07
741,35.00,111.00,8.49
742,35.00,112.00,9.49
743,36.00,39.00,8.00
744,36.00,40.00,7.00
745,36.00,41.00,6.00
746,36.00,42.00,5.00
747,36.00,43.00,4.00
748,36.00,44.00,3.00
749,36.00,45.00,2.00
750,36.00,46.00,1.00
751,36.00,47.00,0.00
752,36.00,48.00,1.00
753,36.00,49.00,2.00
754,36.00,50.00,3.00
755,36.00,51.00,4.00
756,36.00,52.00,5.00
757,36.00,53.00,6.00
758,36.00,54.00,7.00
759,36.00,55.00,8.00
760,36.00,56.00,9.00
761,36.00,72.00,9.24
762,36.00,73.00,8.83
763,36.00,74.00,8.41
764,36.00,75.00,8.00
765,36.00,76.00,7.83
766,36.00,77.00,7.41
767,36.00,78.00,7.00
768,36.00,79.00,6.83
769,36.00,80.00,6.41
770,36.00,81.00,6.00
771,36.00,82.00,5.83
772,36.00,83.00,5.41
773,36.00,84.00,5.00
774,36.00,85.00,4.83
775,36.00,86.00,4.24
776,36.00,87.00,3.83
777,36.00,88.00,3.41
778,36.00,89.00,3.00
779,36.00,90.00,3.00
780,36.00,91.00,2.83
781,36.00,92.00,2.41
782,36.00,93.00,2.00
783,36.00,94.00,2.00
784,36.00,95.00,2.00
785,36.00,96.00,2.00
786,36.00,97.00,2.00
787,36.00,98.00,2.00
788,36.00,99.00,2.00
789,36.00,100.00,2.00
790,36.00,101.00,2.41
791,36.00,102.00,2.83
792,36.00,103.00,3.41
793,36.00,104.00,3.83
794,36.00,105.00,4.24
795,36.00,106.00,4.83
796,36.00,107.00,5.24
797,36.00,108.00,5.66
798,36.00,109.00,6.66
799,36.00,110.00,7.07
800,36.00,111.00,8.07
801,36.00,112.00,8.49
802,36.00,113.00,9.49
803,37.00,38.00,9.00
804,37.00,39.00,8.00
805,37.00,40.00,7.00
806,37.00,41.00,6.00
807,37.00,42.00,5.00
808,37.00,43.00,4.00
809,37.00,44.00,3.00
810,37.00,45.00,2.00
811,37.00,46.00,1.00
812,37.00,47.00,0.00
813,37.00,48.00,1.00
814,37.00,49.00,2.00
815,37.00,50.00,3.00
816,37.00,51.00,4.00
817,37.00,52.00,5.00
818,37.00,53.00,6.00
819,37.00,54.00,7.00
820,37.00,55.00,8.00
821,37.00,56.00,9.00
822,37.00,69.00,9.41
823,37.00,70.00,9.00
824,37.00,71.00,8.66
825,37.00,72.00,8.24
826,37.00,73.00,7.83
827,37.00,74.00,7.41
828,37.00,75.00,7.00
829,37.00,76.00,6.83
830,37.00,77.00,6.41
831,37.00,78.00,6.00
832,37.00,79.00,5.83
833,37.00,80.00,5.41
834,37.00,81.00,5.00
835,37.00,82.00,4.83
836,37.00,83.00,4.41
837,37.00,84.00,4.00
838,37.00,85.00,3.83
839,37.00,86.00,3.41
840,37.00,87.00,2.83
841,37.00,88.00,2.41
842,37.00,89.00,2.00
843,37.00,90.00,2.00
844,37.00,91.00,2.00
845,37.00,92.00,1.41
846,37.00,93.00,1.00
847,37.00,94.00,1.00
848,37.00,95.00,1.00
849,37.00,96.00,1.00
850,37.00,97.00,1.00
851,37.00,98.00,1.00
852,37.00,99.00,1.00
853,37.00,100.00,1.00
854,37.00,101.00,1.41
855,37.00,102.00,2.00
856,37.00,103.00,2.41
857,37.00,104.00,2.83
858,37.00,105.00,3.41
859,37.00,106.00,3.83
860,37.00,107.00,4.24
861,37.00,108.00,5.24
862,37.00,109.00,5.66
863,37.00,110.00,6.66
864,37.00,111.00,7.07
865,37.00,112.00,8.07
866,37.00,113.00,8.49
867,37.00,114.00,9.49
868,38.00,38.00,9.00
869,38.00,39.00,8.00
870,38.00,40.00,7.00
871,38.00,41.00,6.00
872,38.00,42.00,5.00
873,38.00,43.00,4.00
874,38.00,44.00,3.00
875,38.00,45.00,2.00
876,38.00,46.00,1.00
877,38.00,47.00,0.00
878,38.00,48.00,1.00
879,38.00,49.00,2.00
880,38.00,50.00,3.00
881,38.00,51.00,4.00
882,38.00,52.00,5.00
883,38.00,53.00,6.00
884,38.00,54.00,7.00
885,38.00,55.00,8.00
886,38.00,56.00,9.00
887,38.00,67.00,9.24
888,38.00,68.00,8.83
889,38.00,69.00,8.41
890,38.00,70.00,8.00
891,38.00,71.00,7.66
892,38.00,72.00,7.24
893,38.00,73.00,6.83
894,38.00,74.00,6.41
895,38.00,75.00,6.00
896,38.00,76.00,5.83
897,38.00,77.00,5.41
898,38.00,78.00,5.00
899,38.00,79.00,4.83
900,38.00,80.00,4.41
901,38.00,81.00,4.00
902,38.00,82.00,3.83
903,38.00,83.00,3.41
904,38.00,84.00,3.00
905,38.00,85.00,2.83
906,38.00,86.00,2.41
907,38.00,87.00,2.00
908,38.00,88.00,1.41
909,38.00,89.00,1.00
910,38.00,90.00,1.00
911,38.00,91.00,1.00
912,38.00,92.00,1.00
913,38.00,93.00,0.00
914,38.00,94.00,0.00
915,38.00,95.00,0.00
916,38.00,96.00,0.00
917,38.00,97.00,0.00
918,38.00,98.00,0.00
919,38.00,99.00,0.00
920,38.00,100.00,0.00
921,38.00,101.00,1.00
922,38.00,102.00,1.00
923,38.00,103.00,1.41
924,38.00,104.00,2.00
925,38.00,105.00,2.41
926,38.00,106.00,2.83
927,38.00,107.00,3.83
928,38.00,108.00,4.24
929,38.00,109.00,5.24
930,38.00,110.00,5.66
931,38.00,111.00,6.66
932,38.00,112.00,7.07
933,38.00,113.00,8.07
934,38.00,114.00,8.49
935,39.00,38.00,9.00
936,39.00,39.00,8.00
937,39.00,40.00,7.00
938,39.00,41.00,6.00
939,39.00,42.00,5.00
940,39.00,43.00,4.00
941,39.00,44.00,3.00
942,39.00,45.00,2.00
943,39.00,46.00,1.00
944,39.00,47.00,0.00
945,39.00,48.00,1.00
946,39.00,49.00,2.00
947,39.00,50.00,3.00
948,39.00,51.00,4.00
949,39.00,52.00,5.00
950,39.00,53.00,6.00
951,39.00,54.00,7.00
952,39.00,55.00,8.00
953,39.00,56.00,9.00
954,39.00,64.00,9.41
955,39.00,65.00,9.00
956,39.00,66.00,8.66
957,39.00,67.00,8.24
958,39.00,68.00,7.83
959,39.00,69.00,7.41
960,39.00,70.00,7.00
961,39.00,71.00,6.66
962,39.00,72.00,6.24
963,39.00,73.00,5.83
964,39.00,74.00,5.41
965,39.00,75.00,5.00
966,39.00,76.00,4.83
967,39.00,77.00,4.41
968,39.00,78.00,4.00
969,39.00,79.00,3.83
970,39.00,80.00,3.41
971,39.00,81.00,3.00
972,39.00,82.00,2.83
973,39.00,83.00,2.41
974,39.00,84.00,2.00
975,39.00,85.00,2.00
976,39.00,86.00,1.41
977,39.00,87.00,1.00
978,39.00,88.00,1.00
979,39.00,89.00,0.00
980,39.00,90.00,0.00
981,39.00,91.00,0.00
982,39.00,92.00,0.00
983,39.00,93.00,1.00
984,39.00,94.00,1.00
985,39.00,95.00,1.00
986,39.00,96.00,1.00
987,39.00,97.00,1.00
988,39.00,98.00,1.00
989,39.00,99.00,1.00
990,39.00,100.00,1.00
991,39.00,101.00,0.00
992,39.00,102.00,0.00
993,39.00,103.00,1.00
994,39.00,104.00,1.00
995,39.00,105.00,1.41
996,39.00,106.00,2.41
997,39.00,107.00,2.83
